id,image_name,class,confidence,top-left x-coordinate,top-left y-coordinate,bottom-right x-coordinate,bottom-right y-coordinate
108,test_patient0002_0162,0,0.8446,218,232,257,288
109,test_patient0002_0163,0,0.8693,217,233,262,289
110,test_patient0002_0164,0,0.8869,215,234,264,289
111,test_patient0002_0165,0,0.9020,214,234,267,289
112,test_patient0002_0166,0,0.9013,213,234,268,289
113,test_patient0002_0167,0,0.9013,212,233,269,290
114,test_patient0002_0168,0,0.8659,215,235,270,290
115,test_patient0002_0169,0,0.8662,227,237,271,289
116,test_patient0002_0170,0,0.8712,232,237,272,290
117,test_patient0002_0171,0,0.8676,234,237,272,290
118,test_patient0002_0172,0,0.8677,237,238,271,290
119,test_patient0002_0173,0,0.8660,239,237,272,291
120,test_patient0002_0174,0,0.8528,242,237,272,290
121,test_patient0002_0175,0,0.8307,243,238,272,290
122,test_patient0002_0176,0,0.8522,243,237,272,290
123,test_patient0002_0177,0,0.8466,243,236,273,289
124,test_patient0002_0178,0,0.8469,241,236,280,289
125,test_patient0002_0179,0,0.8631,239,236,283,290
126,test_patient0002_0180,0,0.7079,260,236,284,274
127,test_patient0002_0180,0,0.4662,249,236,283,287
128,test_patient0002_0180,0,0.4558,238,235,282,291
129,test_patient0002_0181,0,0.7209,237,236,282,290
130,test_patient0002_0181,0,0.6952,255,236,284,275
131,test_patient0002_0181,0,0.5050,246,236,284,280
132,test_patient0002_0182,0,0.8144,254,235,286,273
133,test_patient0002_0183,0,0.7799,256,235,285,270
134,test_patient0002_0184,0,0.7576,253,234,281,263
135,test_patient0002_0185,0,0.7888,251,234,280,260
136,test_patient0002_0186,0,0.6916,251,234,280,259
137,test_patient0002_0187,0,0.6584,256,234,277,256
138,test_patient0002_0188,0,0.7052,257,233,277,253
139,test_patient0002_0189,0,0.6818,256,233,275,251
140,test_patient0002_0190,0,0.6701,256,234,272,250
141,test_patient0002_0191,0,0.6605,257,234,272,249
142,test_patient0002_0192,0,0.6339,256,234,272,249
143,test_patient0002_0193,0,0.6289,253,234,268,248
144,test_patient0002_0194,0,0.6677,254,234,267,246
145,test_patient0002_0195,0,0.7063,254,236,265,245
146,test_patient0002_0196,0,0.7097,253,235,264,245
147,test_patient0002_0197,0,0.7204,251,236,262,245
148,test_patient0002_0198,0,0.5426,251,237,262,246
149,test_patient0002_0206,0,0.3258,235,248,253,278
150,test_patient0003_0063,0,0.5012,252,235,270,252
151,test_patient0003_0064,0,0.6573,253,236,270,251
152,test_patient0003_0101,0,0.2660,502,466,511,494
153,test_patient0003_0101,0,0.2511,501,466,511,510
154,test_patient0003_0102,0,0.2626,500,466,511,512
155,test_patient0003_0116,0,0.6750,360,333,375,348
156,test_patient0003_0209,0,0.6508,217,295,231,310
157,test_patient0003_0210,0,0.7854,214,292,231,310
158,test_patient0003_0211,0,0.7928,214,289,231,310
159,test_patient0003_0212,0,0.7965,214,287,232,310
160,test_patient0003_0213,0,0.8015,215,286,232,313
161,test_patient0003_0214,0,0.8234,214,283,233,315
162,test_patient0003_0215,0,0.8282,215,281,233,315
163,test_patient0003_0216,0,0.8318,215,280,233,316
164,test_patient0003_0217,0,0.8450,215,278,234,318
165,test_patient0003_0218,0,0.8445,215,277,235,321
166,test_patient0003_0219,0,0.8322,214,276,235,322
167,test_patient0003_0220,0,0.8248,212,274,236,322
168,test_patient0003_0221,0,0.8262,213,274,237,322
169,test_patient0003_0222,0,0.8303,212,273,237,323
170,test_patient0003_0223,0,0.8839,212,270,256,323
171,test_patient0003_0224,0,0.8942,212,268,257,323
172,test_patient0003_0225,0,0.8976,210,266,257,323
173,test_patient0003_0226,0,0.8971,210,264,257,324
174,test_patient0003_0227,0,0.8975,208,263,257,325
175,test_patient0003_0228,0,0.8998,207,262,259,324
176,test_patient0003_0229,0,0.9049,206,262,259,325
177,test_patient0003_0230,0,0.9080,206,261,260,326
178,test_patient0003_0231,0,0.9102,205,260,260,327
179,test_patient0003_0232,0,0.9096,204,261,260,327
180,test_patient0003_0233,0,0.8917,204,262,261,326
181,test_patient0003_0234,0,0.8946,203,262,260,327
182,test_patient0003_0235,0,0.8916,203,262,260,326
183,test_patient0003_0236,0,0.8852,203,263,261,327
184,test_patient0003_0237,0,0.8736,203,263,261,328
185,test_patient0003_0238,0,0.8524,220,277,262,328
186,test_patient0003_0239,0,0.8559,218,276,263,328
187,test_patient0003_0240,0,0.8620,218,274,263,328
188,test_patient0003_0241,0,0.8754,218,274,263,327
189,test_patient0003_0242,0,0.8631,218,275,263,327
190,test_patient0003_0243,0,0.8611,217,276,263,328
191,test_patient0003_0244,0,0.8565,217,276,266,328
192,test_patient0003_0245,0,0.8629,217,276,268,328
193,test_patient0003_0246,0,0.8343,217,277,268,327
194,test_patient0003_0247,0,0.8526,216,277,269,327
195,test_patient0003_0248,0,0.8430,215,277,270,327
196,test_patient0003_0249,0,0.6908,217,276,270,327
197,test_patient0003_0250,0,0.5036,239,277,269,313
198,test_patient0003_0251,0,0.8008,239,277,269,312
199,test_patient0003_0252,0,0.6711,239,277,269,307
200,test_patient0003_0253,0,0.7679,241,276,269,304
201,test_patient0003_0254,0,0.8011,242,276,267,301
202,test_patient0003_0255,0,0.8066,241,276,266,299
203,test_patient0003_0256,0,0.7522,240,277,266,296
204,test_patient0003_0257,0,0.7145,240,276,264,295
205,test_patient0003_0258,0,0.6806,241,275,264,294
206,test_patient0003_0259,0,0.5970,242,275,264,293
207,test_patient0003_0260,0,0.6030,242,275,264,292
208,test_patient0003_0261,0,0.6385,242,276,263,291
209,test_patient0003_0262,0,0.5969,242,277,261,289
210,test_patient0003_0263,0,0.6241,244,277,258,288
211,test_patient0003_0264,0,0.5608,245,277,258,288
212,test_patient0003_0265,0,0.5716,245,277,258,287
213,test_patient0003_0266,0,0.4716,246,274,258,286
214,test_patient0003_0267,0,0.5973,246,273,258,286
215,test_patient0003_0268,0,0.6666,244,274,258,285
216,test_patient0003_0269,0,0.7074,243,274,257,285
217,test_patient0003_0270,0,0.7005,243,273,256,284
218,test_patient0003_0271,0,0.6290,243,272,255,285
219,test_patient0003_0272,0,0.6173,243,272,255,285
220,test_patient0003_0273,0,0.5073,243,272,255,286
221,test_patient0003_0273,0,0.3947,219,273,255,320
222,test_patient0004_0014,0,0.3793,173,329,203,378
223,test_patient0004_0142,0,0.3387,200,207,217,242
224,test_patient0004_0177,0,0.6860,193,241,212,265
225,test_patient0004_0178,0,0.7018,192,239,213,266
226,test_patient0004_0178,0,0.5648,192,208,242,267
227,test_patient0004_0179,0,0.8480,191,207,243,268
228,test_patient0004_0180,0,0.8814,191,207,244,269
229,test_patient0004_0181,0,0.8760,191,206,244,269
230,test_patient0004_0182,0,0.8843,190,207,245,270
231,test_patient0004_0183,0,0.8853,188,208,246,271
232,test_patient0004_0184,0,0.8862,186,208,246,271
233,test_patient0004_0185,0,0.8706,186,208,246,271
234,test_patient0004_0186,0,0.8623,185,208,247,271
235,test_patient0004_0187,0,0.8957,184,208,247,270
236,test_patient0004_0188,0,0.8961,186,209,247,270
237,test_patient0004_0189,0,0.8930,185,210,247,270
238,test_patient0004_0190,0,0.8945,184,210,247,270
239,test_patient0004_0191,0,0.8881,183,209,247,270
240,test_patient0004_0192,0,0.8807,182,209,247,269
241,test_patient0004_0193,0,0.7731,200,208,248,269
242,test_patient0004_0193,0,0.7625,181,208,249,269
243,test_patient0004_0194,0,0.8409,206,207,248,268
244,test_patient0004_0195,0,0.8383,209,207,248,268
245,test_patient0004_0196,0,0.8191,211,207,264,268
246,test_patient0004_0197,0,0.8091,214,206,261,267
247,test_patient0004_0198,0,0.8232,217,205,253,267
248,test_patient0004_0199,0,0.8391,218,203,253,268
249,test_patient0004_0200,0,0.8269,220,203,251,268
250,test_patient0004_0201,0,0.8430,221,203,251,268
251,test_patient0004_0202,0,0.8466,221,204,252,267
252,test_patient0004_0203,0,0.8417,222,203,251,266
253,test_patient0004_0204,0,0.8430,222,203,251,266
254,test_patient0004_0205,0,0.8417,221,203,249,267
255,test_patient0004_0206,0,0.8244,219,203,247,267
256,test_patient0004_0207,0,0.8231,219,203,247,265
257,test_patient0004_0208,0,0.8283,219,203,246,265
258,test_patient0004_0209,0,0.8365,217,203,246,264
259,test_patient0004_0210,0,0.8171,217,203,245,262
260,test_patient0004_0211,0,0.8148,216,202,245,262
261,test_patient0004_0212,0,0.7469,215,203,244,261
262,test_patient0004_0213,0,0.6787,215,204,242,260
263,test_patient0004_0217,0,0.3348,223,201,239,212
264,test_patient0004_0221,0,0.2746,220,203,238,219
265,test_patient0004_0222,0,0.6139,220,214,238,249
266,test_patient0004_0223,0,0.5604,221,214,239,248
267,test_patient0004_0224,0,0.5293,221,217,239,248
268,test_patient0005_0114,0,0.3816,257,221,276,241
269,test_patient0005_0115,0,0.3689,256,219,275,242
270,test_patient0005_0117,0,0.5639,254,222,274,243
271,test_patient0005_0118,0,0.7685,254,222,275,243
272,test_patient0005_0119,0,0.3378,255,218,275,243
273,test_patient0005_0170,0,0.4807,185,271,199,288
274,test_patient0005_0171,0,0.7982,183,269,200,288
275,test_patient0005_0172,0,0.8358,182,266,202,292
276,test_patient0005_0173,0,0.8303,181,265,204,293
277,test_patient0005_0174,0,0.8422,181,263,206,295
278,test_patient0005_0175,0,0.8491,181,261,207,296
279,test_patient0005_0176,0,0.8545,179,260,208,296
280,test_patient0005_0177,0,0.8612,176,258,208,297
281,test_patient0005_0178,0,0.8020,175,246,208,298
282,test_patient0005_0179,0,0.8418,174,244,210,297
283,test_patient0005_0180,0,0.8358,173,245,219,298
284,test_patient0005_0181,0,0.8738,173,244,223,298
285,test_patient0005_0182,0,0.8866,171,244,223,298
286,test_patient0005_0183,0,0.8909,171,245,223,297
287,test_patient0005_0184,0,0.8931,170,245,224,297
288,test_patient0005_0185,0,0.8923,169,245,224,297
289,test_patient0005_0186,0,0.8965,169,245,224,297
290,test_patient0005_0187,0,0.8992,169,245,224,297
291,test_patient0005_0188,0,0.8761,177,245,225,298
292,test_patient0005_0189,0,0.8785,182,244,225,297
293,test_patient0005_0190,0,0.8730,185,243,224,297
294,test_patient0005_0191,0,0.8516,189,244,224,297
295,test_patient0005_0192,0,0.8472,197,244,225,297
296,test_patient0005_0193,0,0.8472,197,245,224,297
297,test_patient0005_0194,0,0.8550,197,244,234,297
298,test_patient0005_0195,0,0.8448,197,244,237,297
299,test_patient0005_0196,0,0.8722,196,244,235,297
300,test_patient0005_0197,0,0.8839,196,244,233,297
301,test_patient0005_0198,0,0.8710,196,243,232,296
302,test_patient0005_0199,0,0.8663,194,242,232,296
303,test_patient0005_0200,0,0.8715,193,242,232,296
304,test_patient0005_0201,0,0.8662,192,242,231,297
305,test_patient0005_0202,0,0.7424,205,241,230,265
306,test_patient0005_0203,0,0.7598,205,241,230,265
307,test_patient0005_0204,0,0.7246,206,242,230,263
308,test_patient0005_0205,0,0.7240,209,242,230,263
309,test_patient0005_0206,0,0.7047,211,243,228,262
310,test_patient0005_0207,0,0.7078,213,243,226,260
311,test_patient0005_0208,0,0.6778,214,243,224,258
312,test_patient0005_0209,0,0.6886,211,244,223,257
313,test_patient0005_0210,0,0.7368,210,244,220,256
314,test_patient0005_0211,0,0.7346,209,245,218,255
315,test_patient0005_0212,0,0.7302,209,245,218,255
316,test_patient0005_0213,0,0.7151,209,245,218,255
317,test_patient0005_0214,0,0.7033,208,245,217,254
318,test_patient0005_0215,0,0.6067,208,246,216,254
319,test_patient0005_0216,0,0.4291,207,246,216,255
320,test_patient0005_0217,0,0.3122,207,247,216,256
321,test_patient0005_0250,0,0.3425,170,503,201,512
322,test_patient0006_0028,0,0.3841,402,346,418,363
323,test_patient0006_0057,0,0.4163,0,101,16,135
324,test_patient0006_0058,0,0.4250,0,97,14,135
325,test_patient0006_0146,0,0.4810,291,191,310,204
326,test_patient0006_0152,0,0.4763,280,210,297,223
327,test_patient0006_0153,0,0.3066,282,211,297,223
328,test_patient0006_0154,0,0.2692,282,211,296,222
329,test_patient0006_0155,0,0.3684,281,212,294,223
330,test_patient0006_0156,0,0.2882,281,213,294,223
331,test_patient0006_0179,0,0.3709,208,263,228,296
332,test_patient0006_0180,0,0.3730,209,263,228,295
333,test_patient0006_0197,0,0.6001,194,279,212,295
334,test_patient0006_0198,0,0.7315,196,279,215,297
335,test_patient0006_0199,0,0.8073,192,275,219,298
336,test_patient0006_0200,0,0.8291,192,271,220,299
337,test_patient0006_0201,0,0.8472,191,271,220,300
338,test_patient0006_0202,0,0.8757,190,269,221,300
339,test_patient0006_0203,0,0.8754,189,267,222,300
340,test_patient0006_0204,0,0.8405,187,266,223,300
341,test_patient0006_0205,0,0.8387,186,242,232,301
342,test_patient0006_0206,0,0.8656,185,241,235,302
343,test_patient0006_0207,0,0.8788,185,239,236,302
344,test_patient0006_0208,0,0.8732,184,239,236,302
345,test_patient0006_0209,0,0.8833,183,240,236,302
346,test_patient0006_0210,0,0.8786,181,240,237,302
347,test_patient0006_0211,0,0.8842,179,241,238,302
348,test_patient0006_0212,0,0.8803,179,241,238,302
349,test_patient0006_0213,0,0.8935,178,241,239,302
350,test_patient0006_0214,0,0.8916,178,242,239,303
351,test_patient0006_0215,0,0.8849,177,242,240,304
352,test_patient0006_0216,0,0.8666,177,242,239,304
353,test_patient0006_0217,0,0.8866,177,242,240,303
354,test_patient0006_0218,0,0.8954,176,241,240,304
355,test_patient0006_0219,0,0.8930,176,241,240,304
356,test_patient0006_0220,0,0.8521,177,241,241,304
357,test_patient0006_0221,0,0.7917,176,240,243,304
358,test_patient0006_0222,0,0.8245,191,241,241,304
359,test_patient0006_0223,0,0.7336,191,241,258,304
360,test_patient0006_0224,0,0.8529,216,238,257,305
361,test_patient0006_0225,0,0.8630,215,238,255,305
362,test_patient0006_0226,0,0.8524,214,239,253,305
363,test_patient0006_0227,0,0.8536,214,239,251,305
364,test_patient0006_0228,0,0.8539,214,239,250,306
365,test_patient0006_0229,0,0.8278,216,238,249,306
366,test_patient0006_0230,0,0.8547,215,238,249,307
367,test_patient0006_0231,0,0.8405,216,239,250,307
368,test_patient0006_0231,0,0.3846,232,238,250,263
369,test_patient0006_0232,0,0.8591,215,239,250,306
370,test_patient0006_0232,0,0.2673,230,238,250,262
371,test_patient0006_0233,0,0.8604,214,239,249,306
372,test_patient0006_0233,0,0.2525,231,238,249,260
373,test_patient0006_0234,0,0.8344,212,239,248,306
374,test_patient0006_0234,0,0.3176,233,238,247,258
375,test_patient0006_0235,0,0.8198,211,240,246,307
376,test_patient0006_0235,0,0.3746,233,238,246,256
377,test_patient0006_0236,0,0.8339,211,240,246,307
378,test_patient0006_0236,0,0.3402,232,238,246,255
379,test_patient0006_0237,0,0.8211,211,240,245,307
380,test_patient0006_0238,0,0.8195,210,240,245,307
381,test_patient0006_0239,0,0.6834,205,240,243,307
382,test_patient0006_0240,0,0.4012,229,239,243,252
383,test_patient0006_0241,0,0.2908,229,239,242,252
384,test_patient0006_0242,0,0.6433,227,239,240,251
385,test_patient0006_0243,0,0.4664,226,239,239,251
386,test_patient0006_0244,0,0.6032,226,239,238,251
387,test_patient0006_0245,0,0.6026,226,240,238,251
388,test_patient0006_0246,0,0.6657,224,240,237,252
389,test_patient0006_0247,0,0.6461,224,240,237,251
390,test_patient0006_0248,0,0.5719,223,242,236,252
391,test_patient0006_0249,0,0.3744,222,244,235,252
392,test_patient0006_0250,0,0.5256,222,244,234,253
393,test_patient0006_0251,0,0.6051,222,244,233,254
394,test_patient0007_0012,0,0.4694,459,480,484,510
395,test_patient0007_0013,0,0.4288,459,482,483,511
396,test_patient0007_0026,0,0.4131,388,336,415,376
397,test_patient0007_0031,0,0.5587,388,333,415,363
398,test_patient0007_0032,0,0.7276,388,333,414,362
399,test_patient0007_0033,0,0.5723,388,333,414,363
400,test_patient0007_0039,0,0.2545,501,303,511,370
401,test_patient0007_0040,0,0.3284,501,304,511,370
402,test_patient0007_0041,0,0.2978,501,305,511,371
403,test_patient0007_0042,0,0.2672,501,305,511,372
404,test_patient0007_0045,0,0.3250,374,355,392,373
405,test_patient0007_0046,0,0.2999,375,356,394,374
406,test_patient0007_0058,0,0.2776,359,351,379,366
407,test_patient0007_0063,0,0.4164,281,204,302,224
408,test_patient0007_0135,0,0.3256,198,214,220,244
409,test_patient0007_0136,0,0.2552,197,217,210,244
410,test_patient0007_0187,0,0.4762,207,237,228,248
411,test_patient0007_0230,0,0.3589,197,218,208,232
412,test_patient0007_0231,0,0.3353,198,219,209,233
413,test_patient0007_0237,0,0.6163,197,218,210,235
414,test_patient0007_0238,0,0.7681,194,216,210,233
415,test_patient0007_0239,0,0.7866,195,215,211,236
416,test_patient0007_0240,0,0.8302,195,214,213,238
417,test_patient0007_0241,0,0.8352,194,213,213,239
418,test_patient0007_0242,0,0.8417,194,214,214,240
419,test_patient0007_0243,0,0.8528,194,213,215,241
420,test_patient0007_0244,0,0.8482,194,213,215,241
421,test_patient0007_0245,0,0.8507,193,212,216,242
422,test_patient0007_0246,0,0.8532,193,211,216,242
423,test_patient0007_0247,0,0.8520,193,210,216,243
424,test_patient0007_0248,0,0.8470,192,209,216,243
425,test_patient0007_0249,0,0.8471,192,208,218,243
426,test_patient0007_0250,0,0.8624,192,208,219,244
427,test_patient0007_0251,0,0.8652,191,207,219,244
428,test_patient0007_0252,0,0.8598,191,206,220,245
429,test_patient0007_0253,0,0.8552,191,205,220,245
430,test_patient0007_0254,0,0.8492,190,205,220,245
431,test_patient0007_0255,0,0.8447,189,204,221,245
432,test_patient0007_0256,0,0.8376,189,196,223,246
433,test_patient0007_0257,0,0.8845,188,196,233,246
434,test_patient0007_0258,0,0.8910,188,195,234,246
435,test_patient0007_0259,0,0.8914,188,195,234,246
436,test_patient0007_0260,0,0.8949,187,195,235,247
437,test_patient0007_0261,0,0.8937,187,195,235,247
438,test_patient0007_0262,0,0.8969,187,196,235,247
439,test_patient0007_0263,0,0.8968,187,196,235,247
440,test_patient0007_0264,0,0.8947,186,196,235,248
441,test_patient0007_0265,0,0.8927,186,196,236,248
442,test_patient0007_0266,0,0.8955,185,196,236,248
443,test_patient0007_0267,0,0.8959,184,196,236,248
444,test_patient0007_0268,0,0.8976,183,196,236,249
445,test_patient0007_0269,0,0.8840,183,196,236,250
446,test_patient0007_0270,0,0.7355,207,196,237,250
447,test_patient0007_0270,0,0.6538,186,196,236,250
448,test_patient0007_0271,0,0.8778,182,196,236,250
449,test_patient0007_0272,0,0.8641,181,196,236,251
450,test_patient0007_0273,0,0.8475,181,196,237,251
451,test_patient0007_0274,0,0.7590,183,196,248,251
452,test_patient0007_0274,0,0.4503,210,196,245,250
453,test_patient0007_0275,0,0.8164,200,195,246,251
454,test_patient0007_0276,0,0.8533,205,195,246,251
455,test_patient0007_0277,0,0.8474,207,193,245,251
456,test_patient0007_0278,0,0.8411,208,192,244,251
457,test_patient0007_0279,0,0.8416,209,193,243,251
458,test_patient0007_0280,0,0.8589,209,192,245,251
459,test_patient0007_0281,0,0.8680,210,193,245,251
460,test_patient0007_0282,0,0.8698,209,194,244,250
461,test_patient0007_0283,0,0.8468,210,194,243,250
462,test_patient0007_0284,0,0.8506,209,193,244,251
463,test_patient0007_0285,0,0.7307,207,193,244,252
464,test_patient0007_0286,0,0.4468,204,192,244,253
465,test_patient0007_0286,0,0.3026,214,193,243,220
466,test_patient0007_0287,0,0.3248,216,193,243,219
467,test_patient0007_0288,0,0.3766,216,194,244,218
468,test_patient0007_0288,0,0.3278,203,193,244,254
469,test_patient0007_0289,0,0.4716,218,194,244,217
470,test_patient0007_0290,0,0.5227,219,194,244,216
471,test_patient0007_0290,0,0.4034,204,193,244,253
472,test_patient0007_0291,0,0.6244,221,195,244,216
473,test_patient0007_0291,0,0.3807,204,195,244,253
474,test_patient0007_0292,0,0.7210,221,195,243,215
475,test_patient0007_0293,0,0.7521,221,195,243,214
476,test_patient0007_0294,0,0.7313,220,195,243,214
477,test_patient0007_0295,0,0.6897,220,196,242,213
478,test_patient0007_0296,0,0.6449,220,197,242,213
479,test_patient0007_0297,0,0.5939,221,197,241,213
480,test_patient0007_0298,0,0.5139,222,198,240,212
481,test_patient0007_0299,0,0.5931,222,198,238,212
482,test_patient0007_0300,0,0.6868,223,198,238,211
483,test_patient0007_0301,0,0.6690,224,198,237,210
484,test_patient0007_0302,0,0.6253,225,199,236,210
485,test_patient0007_0303,0,0.5921,224,199,235,209
486,test_patient0007_0304,0,0.5973,223,200,235,209
487,test_patient0007_0305,0,0.5932,223,199,234,209
488,test_patient0007_0306,0,0.6362,223,199,233,209
489,test_patient0007_0307,0,0.6269,223,200,233,209
490,test_patient0007_0308,0,0.6400,223,200,232,209
491,test_patient0007_0309,0,0.6198,223,201,232,209
492,test_patient0007_0310,0,0.6080,222,202,231,209
493,test_patient0007_0311,0,0.2736,222,202,231,209
494,test_patient0007_0314,0,0.4952,229,225,244,242
495,test_patient0007_0315,0,0.3685,229,225,245,241
496,test_patient0008_0017,0,0.4826,503,464,512,511
497,test_patient0008_0022,0,0.2787,498,305,512,333
498,test_patient0008_0023,0,0.5625,499,306,511,336
499,test_patient0008_0024,0,0.4548,498,307,511,337
500,test_patient0008_0045,0,0.4636,501,257,511,304
501,test_patient0008_0047,0,0.2728,501,269,511,290
502,test_patient0008_0076,0,0.3827,210,498,237,512
503,test_patient0008_0110,0,0.4111,317,279,335,303
504,test_patient0008_0133,0,0.3725,207,503,228,511
505,test_patient0008_0158,0,0.8081,184,233,207,256
506,test_patient0008_0159,0,0.8038,182,227,209,258
507,test_patient0008_0160,0,0.7671,180,222,210,259
508,test_patient0008_0161,0,0.7880,180,213,230,262
509,test_patient0008_0162,0,0.7543,180,213,213,263
510,test_patient0008_0162,0,0.7301,179,213,228,263
511,test_patient0008_0163,0,0.8661,178,214,213,263
512,test_patient0008_0164,0,0.8576,178,214,213,263
513,test_patient0008_0165,0,0.8284,175,203,229,263
